Tag Path    Method  operationId
Answers	answers	GET	getAnswers
Answers	answers/{ids}	GET	getAnswersByIds
Answers	answers/{id}/accept	POST	acceptAnswer
Answers	answers/{id}/accept/undo	POST	undoAcceptAnswer
Answers	answers/{ids}/comments	GET	getComments
Answers	answers/{id}/delete	POST	deleteAnswer
Answers	answers/{id}/downvote	POST	downvoteAnswer
Answers	answers/{id}/downvote/undo	POST	undoDownvoteAnswer
Answers	answers/{id}/edit	POST	editAnswer
Answers	answers/{id}/flags/options	GET	getFlagOptions
Answers	answers/{id}/flags/add	POST	flagAnswer
Answers	answers/{ids}/questions	GET	getQuestionsForAnswerIds
Answers	answers/{id}/upvote	POST	upvoteAnswer
Answers	answers/{id}/upvote/undo	POST	undoUpvoteAnswer
